Athlete,Date,Training_Load
Rahul,2026-07-01,300
Rahul,2026-07-02,320
Rahul,2026-07-03,340
Rahul,2026-07-04,360
Rahul,2026-07-05,380
Rahul,2026-07-06,400
Rahul,2026-07-07,390
Rahul,2026-07-08,410
Rahul,2026-07-09,430
Rahul,2026-07-10,450
Rahul,2026-07-11,440
Rahul,2026-07-12,460
Rahul,2026-07-13,480
Rahul,2026-07-14,500
Rahul,2026-07-15,490
Rahul,2026-07-16,510
Rahul,2026-07-17,530
Rahul,2026-07-18,520
Rahul,2026-07-19,540
Rahul,2026-07-20,560
Arjun,2026-07-01,400
Arjun,2026-07-02,420
Arjun,2026-07-03,440
Arjun,2026-07-04,460
Arjun,2026-07-05,480
Arjun,2026-07-06,500
Arjun,2026-07-07,490
Arjun,2026-07-08,510
Arjun,2026-07-09,530
Arjun,2026-07-10,550
Arjun,2026-07-11,540
Arjun,2026-07-12,560
Arjun,2026-07-13,580
Arjun,2026-07-14,600
Arjun,2026-07-15,590
Arjun,2026-07-16,610
Arjun,2026-07-17,630
Arjun,2026-07-18,620
Arjun,2026-07-19,640
Arjun,2026-07-20,660
